DUPLICATE FILE NAMES REPORT
Generated: 2025-12-25 13:13:30
Root Folder: C:\MyData
===============================================

SUMMARY
===============================================
Total files scanned: 63917
Unique file names: 38635
Duplicate file names: 14215
Total files with duplicate names: 39497

===============================================
DUPLICATE FILES (Ordered by Total Size Descending)
===============================================
FileName                                                                         Occurrences  TotalSizeMB     TotalSizeGB    
IMG-20230206-WA0004.jpg                                                          2            0.05            0              
IMG-20230205-WA0025.jpg                                                          2            0.34            0              
IMG-20230205-WA0019.jpg                                                          2            0.1             0              
IMG-20230205-WA0017.jpg                                                          2            0.11            0              
IMG-20230205-WA0012.jpg                                                          2            0.1             0              
IMG-20230205-WA0024.jpg                                                          2            0.27            0              
IMG-20230205-WA0023.jpg                                                          2            0.36            0              
IMG-20230205-WA0020.jpg                                                          2            0.1             0              
IMG-20230126-WA0049.jpg                                                          2            0.05            0              
IMG-20230126-WA0046.jpg                                                          2            0.09            0              
IMG-20230126-WA0043.jpg                                                          2            0.1             0              
IMG-20230126-WA0055.jpg                                                          2            0.61            0              
IMG-20230126-WA0052.jpg                                                          2            0.41            0              
IMG-20230126-WA0050.jpg                                                          2            0.12            0              
IMG-20230126-WA0042.jpg                                                          2            0.15            0              
IMG-20230126-WA0035.jpg                                                          2            0.2             0              
IMG-20230126-WA0034.jpg                                                          2            0.13            0              
IMG-20230126-WA0033.jpg                                                          2            0.04            0              
IMG-20230126-WA0041.jpg                                                          2            0.16            0              
IMG-20230126-WA0039.jpg                                                          2            0.21            0              
IMG-20230126-WA0038.jpg                                                          2            0.17            0              
IMG-20230126-WA0056.jpg                                                          2            0.3             0              
IMG-20230127-WA0014.jpg                                                          2            0.06            0              
IMG-20230127-WA0013.jpg                                                          2            1.04            0              
IMG-20230127-WA0012.jpg                                                          2            0.56            0              
IMG-20230127-WA0021.jpg                                                          2            0.04            0              
IMG-20230127-WA0019.jpg                                                          2            0.05            0              
IMG-20230127-WA0015.jpg                                                          2            0.12            0              
IMG-20230127-WA0011.jpg                                                          2            0.04            0              
IMG-20230127-WA0002.jpg                                                          2            0.64            0              
IMG-20230126-WA0058.jpg                                                          2            0.42            0              
IMG-20230126-WA0057.jpg                                                          2            0.28            0              
IMG-20230127-WA0008.jpg                                                          2            0.39            0              
IMG-20230127-WA0004.jpg                                                          2            0.3             0              
IMG-20230127-WA0003.jpg                                                          2            0.57            0              
IMG-20230126-WA0032.jpg                                                          2            0.27            0              
IMG-20230125-WA0002.jpg                                                          2            0.09            0              
IMG-20230125-WA0000.jpg                                                          2            0.14            0              
