DUPLICATE FILE NAMES REPORT
Generated: 2025-12-25 13:35:16
Root Folder: C:\MyData\OLD DOK
===============================================

SUMMARY
===============================================
Total files scanned: 17027
Unique file names: 7385
Duplicate file names: 3699
Total files with duplicate names: 13341
Disk space occupied by duplicates: 587.03 MB
(This is the space you would free by keeping only one copy of each duplicate file)

===============================================
DUPLICATE FILES (Ordered by Total Size Descending)
===============================================
FileName                                                                         Occurrences  TotalSizeMB     TotalSizeGB    
package-summary.html                                                             83           0.83            0              
package-list                                                                     12           0               0              
package-frame.html                                                               83           0.18            0              
overview.html                                                                    2            0               0              
OverLIBToolTipTagFragmentGeneratorTests.java                                     2            0.01            0              
OverLIBToolTipTagFragmentGenerator.java                                          2            0.01            0              
overview-frame.html                                                              2            0.01            0              
p161 - event time.JPG                                                            4            0.77            0              
p109 - running status.JPG                                                        4            0.62            0              
overview-tree.html                                                               11           0.3             0              
output_SFII.mid.txt                                                              3            0.73            0              
Operation Scheme.txt                                                             4            0               0              
OpenMapRealVector.OpenMapSparseIterator.html                                     2            0.02            0              
OpenMapRealVector.OpenMapEntry.html                                              2            0.02            0              
Operations.class                                                                 9            0               0              
orange pass.exe                                                                  3            0.06            0              
OptimizationData.html                                                            4            0.1             0              
Operators.class                                                                  9            0               0              
OpenIntToDoubleHashMap.Iterator.html                                             2            0.03            0              
OpenIntToDoubleHashMap.html                                                      2            0.03            0              
OpdfWriter.java                                                                  9            0.02            0              
OpenIntToFieldHashMap.html                                                       2            0.04            0              
OpenMapRealVector.html                                                           2            0.11            0              
OpenMapRealMatrix.html                                                           2            0.07            0              
OpenIntToFieldHashMap.Iterator.html                                              2            0.02            0              
OutlierTests.java                                                                2            0.01            0              
OutlierListCollection.java                                                       2            0.01            0              
OutlierList.java                                                                 2            0.01            0              
OutlineExtractor.html                                                            2            0.02            0              
output_fragment.xml                                                              2            0               0              
output.txt                                                                       19           21.33           0.02           
OutOfRangeException.html                                                         2            0.23            0              
OrderedTuple.html                                                                2            0.03            0              
OrderedCrossover.html                                                            2            0.03            0              
orange-bill-20121025-11051671012.pdf                                             2            0.69            0              
org.eclipse.core.resources.prefs                                                 2            0               0              
Outlier.java                                                                     2            0.01            0              
OrientedPoint.html                                                               2            0.03            0              
org.eclipse.jdt.core.prefs                                                       21           0.01            0              
package-tree.html                                                                83           0.79            0              
parsed_groupB_2007_Mar.xml                                                       2            0               0              
parsed_groupB_2007_Jun.xml                                                       2            0               0              
parsed_groupB_2007_Jul.xml                                                       2            0               0              
parsed_groupB_2007_May.xml                                                       2            0               0              
parsed_groupB_2007_Sep.xml                                                       2            0               0              
parsed_groupB_2007_Oct.xml                                                       2            0               0              
parsed_groupB_2007_Nov.xml                                                       2            0               0              
parsed_groupB_2007_Apr.xml                                                       2            0               0              
parsed_groupA_2007_Sep.xml                                                       2            0               0              
parsed_groupA_2007_Oct.xml                                                       2            0               0              
parsed_groupB_2007_Aug.xml                                                       2            0               0              
parsed_groupB_2007_Jan.xml                                                       2            0               0              
parsed_groupB_2007_Feb.xml                                                       2            0               0              
parsed_groupB_2007_Dec.xml                                                       2            0               0              
PascalDistribution.html                                                          2            0.03            0              
ParseXml.java                                                                    10           0.05            0              
ParseXml.class                                                                   10           0.02            0              
PearsonsCorrelation.html                                                         2            0.04            0              
PeriodAxis.java                                                                  2            0.09            0              
Percentile.html                                                                  2            0.05            0              
PegasusSolver.html                                                               2            0.03            0              
Parser.class                                                                     8            0.06            0              
ParsedToJDF.java                                                                 2            0.01            0              
ParsedToJDF.class                                                                2            0.01            0              
Parser.html                                                                      4            0.06            0              
ParseXml$2.class                                                                 10           0.01            0              
ParseXml$1.class                                                                 10           0.02            0              
Parser.java                                                                      14           0.13            0              
parsed_groupA_2007_Nov.xml                                                       2            0               0              
PaletteChooserPanel.java                                                         2            0.01            0              
Pair.java                                                                        8            0               0              
Pair.html                                                                        2            0.05            0              
PaletteSample.java                                                               2            0.01            0              
Parameterizable.html                                                             2            0.02            0              
ParamChecks.java                                                                 2            0               0              
Pannable.java                                                                    2            0.01            0              
PaintMapTests.java                                                               2            0.01            0              
PaintMap.java                                                                    2            0.01            0              
package-use.html                                                                 74           0.94            0              
PaintScale.java                                                                  2            0.01            0              
Pair.class                                                                       10           0.01            0              
PaintScaleLegendTests.java                                                       2            0.01            0              
PaintScaleLegend.java                                                            2            0.05            0              
parsed_groupA_2007_Jan.xml                                                       2            0.01            0              
parsed_groupA_2007_Feb.xml                                                       2            0               0              
parsed_groupA_2007_Dec.xml                                                       2            0               0              
parsed_groupA_2007_Jul.xml                                                       2            0               0              
parsed_groupA_2007_May.xml                                                       2            0               0              
parsed_groupA_2007_Mar.xml                                                       2            0.01            0              
parsed_groupA_2007_Jun.xml                                                       2            0               0              
ParametricUnivariateFunction.html                                                2            0.03            0              
ParameterJacobianProvider.html                                                   2            0.02            0              
ParameterizedODE.html                                                            2            0.02            0              
Params.class                                                                     8            0.02            0              
parsed_groupA_2007_Aug.xml                                                       2            0               0              
parsed_groupA_2007_Apr.xml                                                       2            0               0              
Params.java                                                                      8            0.02            0              
SegmentedTimelineTests2.java                                                     2            0.03            0              
SegmentedTimelineTests.java                                                      2            0.09            0              
SegmentedTimeline.java                                                           2            0.13            0              
SelectionPolicy.html                                                             2            0.02            0              
seperator.gif                                                                    4            0               0              
SemiVariance.html                                                                2            0.06            0              
SemiVariance.Direction.html                                                      2            0.04            0              
SecondMoment.html                                                                2            0.05            0              
SecondaryEquations.html                                                          2            0.02            0              
Second.java                                                                      2            0.03            0              
SecondOrderDifferentialEquations.html                                            2            0.02            0              
Segment.html                                                                     4            0.05            0              
SecondTests.java                                                                 2            0.02            0              
SecondOrderIntegrator.html                                                       2            0.02            0              
SeriesChangeEvent.java                                                           2            0               0              
Series.java                                                                      2            0.03            0              
serialized-form.html                                                             2            0.3             0              
SeriesChangeListener.java                                                        2            0               0              
SeriesRenderingOrder.java                                                        2            0.01            0              
SeriesException.java                                                             2            0               0              
SeriesDataset.java                                                               2            0.01            0              
SeqComponent.java                                                                6            0               0              
SeqComponent.html                                                                2            0.02            0              
SeqComponent.class                                                               3            0               0              
Sequence.class                                                                   8            0.01            0              
serial.txt                                                                       4            0               0              
Sequence.java                                                                    11           0.01            0              
Sequence.html                                                                    2            0.03            0              
SecantSolver.html                                                                2            0.03            0              
s3.mid                                                                           3            0               0              
s1.mid                                                                           4            0               0              
s0_no zero track.mid                                                             3            0               0              
samp-angeleyes.mid                                                               4            0.1             0              
Scale identification through approximated Diatonic functions [2].docx            2            0.03            0              
SamplingXYLineRenderer.java                                                      2            0.03            0              
samples.build                                                                    2            0.01            0              
RunExperiment.java                                                               7            0               0              
RunExperiment.class                                                              7            0               0              
RunBatch.vshost.exe.manifest                                                     2            0               0              
RungeKuttaIntegrator.html                                                        2            0.04            0              
s0.mid                                                                           3            0               0              
RzdTfm0oVTq.js                                                                   2            0.07            0              
Runner.html                                                                      2            0.03            0              
ScatterRendererSample.png                                                        2            0.02            0              
ScatterRenderer.java                                                             2            0.04            0              
ScatterPlotTests.java                                                            2            0.01            0              
ScatterRendererTests.java                                                        2            0.02            0              
SearchInterval.html                                                              2            0.02            0              
script.js                                                                        8            0.15            0              
scheme.lib                                                                       4            0               0              
Scale.html                                                                       2            0.02            0              
Scale.class                                                                      8            0               0              
Scale identification through approximated Diatonic functions.docx                2            0.03            0              
Scale.java                                                                       11           0.01            0              
Scaler.java                                                                      11           0.01            0              
Scaler.html                                                                      2            0.02            0              
Scaler.class                                                                     8            0.01            0              
servlet.jar                                                                      2            0.15            0              
simple harms 1 [120bpm].txt                                                      3            0.01            0              
simple harms 1 [100bpm].txt                                                      3            0.01            0              
Signum.html                                                                      2            0.02            0              
simple harms 1.mid                                                               3            0               0              
Simple harms 1[100bpm]_tamp.mid                                                  3            0               0              
Simple harms 1[100bpm].mid                                                       3            0               0              
simple harms 1.txt                                                               3            0.01            0              
show_ads_impl.js                                                                 2            0.1             0              
show_ads.js                                                                      4            0.1             0              
ShortTextTitleTests.java                                                         2            0.01            0              
Side.html                                                                        2            0.04            0              
signum.asm                                                                       5            0               0              
Sigmoid.Parametric.html                                                          2            0.02            0              
Sigmoid.html                                                                     2            0.03            0              
simple_parsed.txt                                                                4            0.01            0              
simple_old.mid                                                                   4            0               0              
Simple_comp.mid                                                                  3            0               0              
Simple2.mid                                                                      3            0               0              
SimpleExample$Packet.class                                                       4            0.01            0              
SimpleC.g                                                                        8            0.01            0              
SimpleBounds.html                                                                4            0.04            0              
Simple harms 1[120bpm].mid                                                       3            0               0              
Simple harms 1[100bpm]_tamp2.mid                                                 3            0               0              
Simple harms 1[100bpm]_tamp2                                                     3            0               0              
simple harms 2.mid                                                               3            0               0              
simple.mid.jpeg                                                                  3            0.32            0              
simple.mid                                                                       7            0               0              
simple harms 2.txt                                                               3            0.01            0              
ShortTextTitle.java                                                              2            0.02            0              
SetupMtrk.class                                                                  3            0.01            0              
SetupMthd.java                                                                   6            0.01            0              
SetupMthd.html                                                                   2            0.02            0              
SetupMtrk.html                                                                   2            0.02            0              
SetupTrack.html                                                                  2            0.02            0              
SetupTrack.class                                                                 3            0.01            0              
SetupMtrk.java                                                                   6            0.01            0              
SetDistribution.java                                                             8            0.01            0              
SetDistribution.class                                                            8            0.01            0              
ServletUtilities.java                                                            2            0.03            0              
setFormActionAndSubmit.js                                                        4            0               0              
SetupMthd.class                                                                  3            0.01            0              
setup.exe                                                                        4            44.64           0.04           
setFormActionAndSubmitOfSearchList.js                                            3            0               0              
sheet001.htm                                                                     3            0.07            0              
SharpZipLibUnzip.exe                                                             2            0.01            0              
ShadowGenerator.java                                                             2            0               0              
ShipNeedle.java                                                                  2            0.01            0              
ShopSale.java                                                                    3            0               0              
ShopSale.class                                                                   3            0               0              
ShipNeedleTests.java                                                             2            0.01            0              
SFII_1track.mid                                                                  5            0               0              
SFII.mid                                                                         3            0.01            0              
SetupTrack.java                                                                  6            0.02            0              
sgor.jpg                                                                         2            0               0              
shade_right.gif                                                                  3            0               0              
shade_left.gif                                                                   3            0               0              
sh29.htm                                                                         2            0.03            0              
RunBatch.vshost.exe                                                              2            0.02            0              
recommendations.htm                                                              4            0.08            0              
RealVectorPreservingVisitor.html                                                 2            0.02            0              
RealVectorFormat.html                                                            2            0.04            0              
Record Summary.pdf                                                               2            0.33            0              
RectangularCholeskyDecomposition.html                                            2            0.02            0              
RectangleConstraintTests.java                                                    2            0.01            0              
RectangleConstraint.java                                                         2            0.02            0              
RealTransformer.html                                                             2            0.02            0              
RealMatrixPreservingVisitor.html                                                 2            0.03            0              
