"FileName","FullPath","SizeBytes","SizeMB","LastModified","DuplicateCount"
".classpath","C:\MyData\OLD DOK\And exported projects\FirstApp\FirstApp\.classpath","364","0","2013-03-14 03:00:56","19"
".classpath","C:\MyData\OLD DOK\And exported projects\FirstFragRelative\FirstFragRelative\.classpath","364","0","2013-03-14 03:00:26","19"
".classpath","C:\MyData\OLD DOK\And exported projects\Frags\Frags\.classpath","364","0","2013-03-14 13:05:10","19"
".classpath","C:\MyData\OLD DOK\DataCorruption_Bash\.classpath","1921","0","2013-08-16 04:17:32","19"
".classpath","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\.classpath","1921","0","2013-09-03 03:14:04","19"
".classpath","C:\MyData\OLD DOK\DOK\RiffMaker\.classpath","394","0","2012-04-04 18:39:02","19"
".classpath","C:\MyData\OLD DOK\DOK\RiffMaker_\.classpath","394","0","2012-04-04 18:39:02","19"
".classpath","C:\MyData\OLD DOK\DOK\workspace\My_1\.classpath","295","0","2012-01-13 09:32:28","19"
".classpath","C:\MyData\OLD DOK\DOK\workspace\RiffMaker\.classpath","624","0","2013-01-18 18:33:42","19"
".classpath","C:\MyData\OLD DOK\DOK\workspace\RiffMaker_o\.classpath","394","0","2012-04-04 18:39:02","19"
".classpath","C:\MyData\OLD DOK\DOK\workspace\test\.classpath","301","0","2012-01-13 08:22:20","19"
".classpath","C:\MyData\OLD DOK\DOK\workspace\Testy\.classpath","301","0","2012-11-17 15:49:58","19"
".classpath","C:\MyData\OLD DOK\PROJECT\Data_Project\DataCorruption\.classpath","525","0","2013-05-14 13:37:52","19"
".classpath","C:\MyData\OLD DOK\PROJECT\DataCorruption\.classpath","822","0","2013-06-14 14:32:00","19"
".classpath","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\.classpath","822","0","2013-07-03 18:28:50","19"
".project","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\.project","390","0","2013-06-27 04:18:26","31"
".project","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\.project","390","0","2013-07-03 13:35:40","31"
".project","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\.project","390","0","2013-07-03 18:28:50","31"
".project","C:\MyData\OLD DOK\7-6-2013\DataCorruption\.project","390","0","2013-06-07 14:57:30","31"
".project","C:\MyData\OLD DOK\And exported projects\FirstApp\FirstApp\.project","844","0","2013-03-14 03:00:56","31"
".project","C:\MyData\OLD DOK\And exported projects\FirstFragRelative\FirstFragRelative\.project","845","0","2013-03-14 03:00:26","31"
".project","C:\MyData\OLD DOK\And exported projects\Frags\Frags\.project","845","0","2013-03-14 13:05:10","31"
".project","C:\MyData\OLD DOK\DataCorruption_a\.project","395","0","2013-08-11 16:47:34","31"
".project","C:\MyData\OLD DOK\DataCorruption_Bash\.project","395","0","2013-08-22 14:40:52","31"
".project","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\.project","393","0","2013-09-03 03:14:04","31"
".project","C:\MyData\OLD DOK\DOK\RiffMaker\.project","385","0","2011-11-21 13:29:02","31"
".project","C:\MyData\OLD DOK\DOK\RiffMaker_\.project","385","0","2011-11-21 13:29:02","31"
".project","C:\MyData\OLD DOK\DOK\workspace\1\.project","2620","0","2011-11-14 19:15:02","31"
".project","C:\MyData\OLD DOK\DOK\workspace\comp_hw_1\.project","213","0","2011-11-28 09:55:18","31"
".project","C:\MyData\OLD DOK\DOK\workspace\comp_hw_2\.project","213","0","2011-11-27 20:59:18","31"
".project","C:\MyData\OLD DOK\DOK\workspace\comp_hw_3\.project","213","0","2011-12-21 00:26:14","31"
".project","C:\MyData\OLD DOK\DOK\workspace\comp_project\.project","216","0","2012-01-23 22:59:56","31"
